Symbol,Name,
≠,not equal to,
=,equal to,
<,less than,
>,greater than,
≤,less than or equal to,
≥,greater than or equal to,
[,open squared bracket,
],close squared bracket,
(,open parenthesis,
),close parenthesis,
−,minus,
+,plus,
∓,minus plus,
±,plus minus,
×,into,
×,multiplied by,
*,asterisk,
÷,divide by,
∙,multiplication dot,
–,horizontal line,
/,slash,
| ,modulo,
3,cube,
2,square,
ᵇ,to the power,
aᵇ,raised to,
.,period,
√a,square root,
a^b,caret,
⁴√,fourth root,
³√,cube root,
%,percent,
ⁿ√,n-th root (radical),
ppm,per-million,
‰,per-mille,
ppt,per-trillion,
ppb,per-billion,
^,caret ,
^,circumflex,
·,and,
+,plus,
&,ampersand,
|,vertical line,
∨,reversed caret,
X̄,bar,
x’,single-quote,
!,Exclamation mark,
¬,not,
~,tilde,
⊕,circled plus ,
⊕,oplus,
⇔,equivalent,
⇒,implies,
∈,belongs to,
∈,Belong to,
∈,is an element of,
∉,Not an element of,
∀,for all,
↔,equivalent,
∄,there does not exist,
∃,there exists,
∵,because ,
∵,since,
∴,therefore,
ε,epsilon,
limx→a,limit,
y ‘,derivative,
e,e constant ,
e,Euler’s number,
y(n),nth derivative,
y”,second derivative,
d²y/dx²,d two y by d x square,
dy/dx,dy by dx,
dⁿy/dxⁿ,d n y by d x n,
d²y/dt²,Second derivative of time,
dy/dt,Single derivative of time,
∫,integral,
"∂f(x, y)/∂x",partial derivative with respect to,
∭,triple integral,
∬,double integral,
∯,closed surface integral,
∮,closed contour ,
∮,line integral,
"[a,b]",closed interval,
∰,closed volume integral,
"(a,b)",open interval,
z*,complex conjugate,
i,imaginary unit,
∇,nabla ,
∇,del,
\(\begin{array}{l}\vec{x}\end{array} \),vector,
x * y,convolution,
∞,lemniscate,
δ,delta,
ⁿPₖ,Permutation,
!,Factorial,
ⁿCₖ,Combination,
β,Beta,
α,Alpha,
δ,Delta,
γ,Gamma,
ζ,Zeta,
ε,Epsilon,
θ,Theta,
η,Eta,
κ,Kappa,
ι,Iota,
μ,Mu,
λ,Lambda,
ξ,Xi,
ν,Nu,
ο,Omicron,
π,Pi,
σ,Sigma,
ρ,Rho,
υ,Upsilon,
τ,Tau,
χ,Chi,
φ,Phi,
ω,Omega,
ψ,Psi,
Β,upper Beta,
Α,upper Alpha,
Δ,upper Delta,
Γ,upper Gamma,
Ζ,upper Zeta,
Ε,upper Epsilon,
Θ,upper Theta,
Η,upper Eta,
Κ,upper Kappa,
Ι,upper Iota,
Μ,upper Mu,
Λ,upper Lambda,
Ξ,upper Xi,
Ν,upper Nu,
Ο,upper Omicron,
Π,upper Pi,
Σ,upper Sigma,
Ρ,upper Rho,
Υ,upper Upsilon,
Τ,upper Tau,
Χ,upper Chi,
Φ,upper Phi,
Ω,upper Omega,
Ψ,upper Psi,
0,zero,
1,one,
2,two,
3,three,
4,four,
5,five,
6,six,
7,seven,
8,eight,
9,nine,
10,ten,
11,eleven,
12,twelve,
13,thirteen,
14,fourteen,
15,fifteen,
16,sixteen,
17,seventeen,
18,eighteen,
19,nineteen,
20,twenty,
30,thirty,
40,forty,
50,fifty,
60,sixty,
70,seventy,
80,eighty,
90,ninety,
100,one hundred,
I,roman 1,
II,roman 2,
III,roman 3,
IV,roman 4,
V,roman 5,
VI,roman 6,
VII,roman 7,
VIII,roman 8,
IX,roman 9,
X,roman 10,
XI,roman 11,
XII,roman 12,
XIII,roman 13,
XIV,roman 14,
XV,roman 15,
XVI,roman 16,
XVII,roman 17,
XVIII,roman 18,
XIX,roman 19,
XX,roman 20,
XXX,roman 30,
XL,roman 40,
L,roman 50,
LX,roman 60,
LXX,roman 70,
LXXX,roman 80,
XC,roman 90,
C,roman 100,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
